Experiment: Table Size: 765211, Load Factor: 0.7
Table Size: 765211, Load Factor: 0.70

Total Insertion Time: 27.70 ms
Total Collisions During Insertion: 308583


Subset: 10 Words
Word: 'galvanofaradization', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'currachs', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'gastrea', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'Resuscitated', Probes: -1, Search Time: 0.30 µs, Collisions: -2

Subset: 20 Words
Word: 'custumal', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'fibrochondrosteal', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'fullwords', Probes: 3, Search Time: 0.80 µs, Collisions: 2
Word: 'evadible', Probes: 2, Search Time: 0.40 µs, Collisions: 1
Word: 'tuffets', Probes: 2, Search Time: 0.30 µs, Collisions: 1
Word: 'shirtiness', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'hydroxyapatite', Probes: 2, Search Time: 0.30 µs, Collisions: 1
Word: 'Fabe', Probes: 1, Search Time: 0.10 µs, Collisions: 0
Word: 'theropodous', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'IX', Probes: 2, Search Time: 0.50 µs, Collisions: 1
Word: 'dulias', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'rubeoloid', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'home-sickness', Probes: 1, Search Time: 0.50 µs, Collisions: 0
Word: 'superconsecrated', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'Nedi', Probes: 2, Search Time: 0.30 µs, Collisions: 1
Word: 'myomantic', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'actinologous', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'gelotherapy', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'untechnical', Probes: 2, Search Time: 0.40 µs, Collisions: 1
Word: 'Blagoveshchensk', Probes: 1, Search Time: 0.60 µs, Collisions: 0

Subset: 30 Words
Word: 'hopple', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'well-manured', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'ovaliform', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'brontothere', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'Tricholoma', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'incircumspectly', Probes: 1, Search Time: 0.10 µs, Collisions: 0
Word: 'swoopers', Probes: 1, Search Time: 0.20 µs, Collisions: 0
Word: 'fumed', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'tidecoach', Probes: 3, Search Time: 0.60 µs, Collisions: 2
Word: 'Sloane', Probes: 1, Search Time: 0.30 µs, Collisions: 0
Word: 'custumal', Probes: 1, Search Time: 0.10 µs, Collisions: 0
Word: 'fibrochondrosteal', Probes: 1, Search Time: 0.10 µs, Collisions: 0
Word: 'fullwords', Probes: 3, Search Time: 0.30 µs, Collisions: 2
Word: 'evadible', Probes: 2, Search Time: 0.10 µs, Collisions: 1
Word: 'tuffets', Probes: 2, Search Time: 0.30 µs, Collisions: 1
